country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Estonia,1386.94803318539,1306.620570437,1085.92140009621,819.81142680363,773.069211913729,702.713971252113,662.58133430339,675.819384057021,686.06511578056,576.253562953293,601.320771079247,601.710064305643,579.81772822248,609.588748916545,632.529220727631,621.450093321964,619.029068386866,666.539863671522,744.691616284892,701.683749536995,717.870158861874,716.297908811208,780.572716248272,769.162697021836,819.529049495335
European Union,388663.46058574,370242.088935833,355959.76786929,345876.471393106,348484.822972035,351343.564078907,356924.647676983,353901.179361895,331944.081021336,311617.795637016,309752.768575118,306270.054080363,295460.485722041,292877.869255273,297172.717319457,289132.4745293,279466.441154281,280033.581412401,269056.823186962,254094.405670615,244135.499956629,239713.781786829,236629.022077268,237361.491847545,239890.166462187
Finland,6328.71648460905,5881.93675030608,5461.41289768856,5614.44591958677,5786.16374762057,5984.19575566851,5886.29683034134,5831.75844753035,5678.76837027459,5573.50049147288,5621.95734522058,5569.39400428778,5676.41835284394,5787.69900624858,5844.56970927116,5921.3804785276,5725.75086732767,5793.79319374182,5917.6058746115,5070.90249707673,4676.58281741075,4547.93466904221,4527.42472097089,4589.41603649606,4626.44529423974
France,67665.0963966015,68232.7496472636,67817.2148560581,66951.8882312991,67047.1291904924,68570.3600676745,70355.993117673,70521.2783680232,64007.5898474858,58037.0524807837,56512.0748224093,56147.5468959435,53345.2948532905,51538.4101767204,49822.9250731393,48969.4477288948,47876.6192863574,48057.0394991582,47099.1236401676,45642.3386955562,43316.6262924628,41732.0739671842,41875.3083673158,41715.4959878521,43031.3392485803
Germany,65188.8516268817,62711.8469863504,63686.8532595428,60921.6171925002,61756.6417555732,61135.982143179,62404.5335799045,59540.8018578211,46658.0534921103,43242.4891829438,43274.075126665,44665.5199820162,43849.5670144331,43482.068802201,45657.6649811772,43642.2880424378,43351.0600038012,45257.888831885,45768.6413223936,44969.9864483368,36952.5090330272,38347.3209531827,37497.4936607524,38084.9191806386,38780.289995392
Greece,7402.64281402762,7269.55164996042,7129.88046160346,6564.37569257449,6480.19419955965,6669.80922700312,6846.91196407554,6686.38644285652,6621.5570833371,6604.32412668112,6346.04941154567,6207.72807311416,6172.35756103089,6050.25253250507,6054.52883831513,5882.94951366643,5730.83250457993,5825.36161258537,5610.97455334186,5325.95590579888,5526.82836121731,5317.62225164182,4912.05579470615,4670.44097914161,4686.08988734916
Hungary,8664.9194671011,5898.46505861495,4661.37344047111,4857.52082161896,5798.26222892975,5000.68328482233,5569.08562476388,5564.32015812769,5485.9305674163,5283.623978354,5621.4669894554,6080.43264043046,5388.08821504104,5380.93485130088,6221.69479040374,5981.60128139731,5718.971930524,5206.0271026594,4486.93928380424,4149.45686329337,4054.66099691422,4259.61201967414,4200.47536001711,4599.49899611063,4503.559566582
Iceland,510.039969148917,492.025762962568,462.248631548003,474.664588477398,480.448203891548,468.52531666652,488.423585792905,485.04328312507,486.896684411113,505.193155169216,480.54342543483,472.97384561243,441.377625114495,433.032514022133,429.977569946523,435.307809254708,460.133441995219,478.46482462183,487.122854699782,453.296797496436,437.998561647196,432.110601768568,441.154129484311,425.576789916525,467.976035747765
Ireland,8402.25146514317,8206.15403132436,8226.88792534021,8227.9826710924,8429.60337041473,8658.24489119118,8807.86555931371,8822.89550659361,9208.76962573064,8958.56605039318,8640.46632479878,8189.97350111337,7827.9333327164,7679.19656832689,7563.72479187619,7367.66884644618,7137.89562590752,6964.07174052634,6954.76947511412,6881.95880780481,7032.34683051764,6624.15270059031,6703.76811913983,7084.87206028167,6985.06039741333
Italy,27427.1150136846,28332.3126819202,27839.6545796609,28357.6723363782,27744.0589143276,28789.0872535738,28823.5939746128,29840.0532436916,29975.391004565,30573.2755087135,29716.6050112189,30007.7263129228,29313.7269451885,29067.955280636,29818.9429842785,28650.3201316075,23780.740671803,23342.0937596864,21862.6586594612,20780.9457037698,19945.7829086983,19522.5416761065,20045.1331829963,19099.7322021243,18584.7288524751
Japan,30812.4058184121,30511.3768656314,30649.1017879241,30541.5917698658,31848.6794560012,32150.303481633,33269.5652471293,34066.5958614205,32509.1356173477,26427.5255572824,28999.2067585032,25481.0264578169,25017.4126699641,24862.2660643819,24895.5761326628,24516.8073100251,24541.2735204516,23977.1748948328,23095.1181033868,22630.1353194331,22312.3155677288,21835.785656861,21425.9666079099,21477.9038161769,20848.3298842674
Latvia,2888.4187499266,2733.79047753294,2211.11421616148,1784.12317840985,1623.45224040938,1476.64453234033,1497.20877907923,1507.68854012155,1465.2535283451,1396.00174374754,1420.33019050757,1517.20687203825,1478.85083855763,1532.55808860135,1523.54603555707,1587.19163101863,1597.0427033129,1653.06909906558,1641.93927418618,1670.70989776254,1711.99060011522,1726.2775176392,1823.60766454439,1859.45169122631,1911.51868113882
Liechtenstein,10.8571660758976,11.0653925025075,10.9734548154026,10.7341219517833,10.6934412738792,10.6048663617398,10.5601249829528,10.5660800717191,10.2466803031628,9.99184559814152,9.85174988711484,9.90992319345408,10.0511549420148,10.0529496192889,9.71942719946702,9.8626424137403,10.0432599001638,10.1044735088831,10.2802956369935,10.1500059833859,9.91002436183764,10.2991722561692,10.2218522695012,9.9558398217058,9.96502634386566
Lithuania,5370.7328500769,5644.46714535688,3698.14887089031,3230.83540643641,2936.65837029095,2975.29479169396,3426.2922104685,3541.31123602261,3818.61264750151,3819.75891455678,4015.79074170298,4209.78397242922,4455.33481030971,4620.94173592212,4818.30211223451,5069.49334461018,5008.20286482918,5742.41827130086,5421.12248963546,3281.23929862331,3198.21752159965,3515.82369314823,3261.86765708307,3031.22069484703,3124.49173783258
Luxembourg,288.770394487681,301.408489735,291.198837987111,285.206983296675,283.134021961962,285.39082112669,286.547775839817,286.931918902091,290.332029253033,287.482157140005,287.954799648072,274.37769800511,278.037182537339,273.070286492627,292.258192231611,274.122055884668,267.763841086298,265.596040937961,267.234508701033,265.181812832346,270.342568087369,277.860213484339,265.074028888637,269.43618207575,296.011003249245
Malta,61.4890147278553,64.0571444235168,66.2028984968267,69.0535884485676,71.4985791131761,73.3523914143725,72.8749240241485,74.841775621278,70.6395304767423,71.996805884162,75.9171127750792,75.1294317631725,73.8597959357422,72.8688072389343,71.751846760821,71.0684625020077,72.5030060826119,74.7640519351901,72.0198840710079,69.2330465101579,65.4775122662086,67.5062466750124,67.8278743735485,68.1981628828519,68.2263872462731
Monaco,1.64555106483988,1.93637803263462,2.06026827971132,2.3465214146151,2.57858689154972,2.68769382417096,2.91706098052766,3.14819111472134,3.1648164950784,3.28348801225896,3.48371994613954,3.71805884336784,3.65871946640196,3.50849521514336,3.3773263821158,3.23070433519814,3.49545528125816,4.41808469499282,4.3398240028206,4.42009415440802,4.32952761909508,4.22511080256166,4.42665457510988,4.42338724010374,
Netherlands,17636.5109993368,17814.3101355604,18043.076403011,18310.8013829881,17794.0890617889,17667.7629373555,17701.233947839,17427.5466180966,16848.7846462731,16173.3643974875,15638.7401610969,14662.0039733458,13849.9441099384,13732.0407567732,14171.0645203012,14078.9068139764,13985.149325462,12339.8672323027,8558.09830231033,8349.9549378197,8049.91507197078,7855.24805918649,7672.69160566458,7684.82303825765,7815.38236187074
