Country,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Bulgaria,22.07,22.44,22.64,23.65,23.84,23.88,24.85,25.85,24.81,25.17,26.29,27.12,26.73,28.02,29.24,31.2,29.89,31.43,33.42,33.51,35.05,36.72,38.6,38.43,37.49,43.05,46.94,48.35,51.86
Burkina Faso,47.88,47.85,47.23,45.14,44.53,43.62,42.45,42.25,41.47,39.62,38.26,37.03,36.13,36.27,35.17,34.03,27.8,26.63,29.68,27.84,28.2,27.3,26.71,26.99,26.24,25.66,25.18,24.58,23.91
Burundi,6.96,6.94,6.11,5.6,5.75,6.02,5.55,5.69,5.6,5.26,5.01,4.83,4.69,4.52,4.59,4.66,4.76,4.96,5.1,5.49,5.89,6.17,6.17,6.24,6.07,6.08,5.98,5.81,5.62
Cambodia,66.39,68.08,67.44,66.44,66.16,66.85,66.48,68.74,64.36,65.28,63.82,64.04,63.3,58.86,57.86,57.56,52.88,50.1,50.23,53.61,53.57,48.72,46.59,50.49,44.59,47.9,45.46,44.16,44.98
Cameroon,49.83,49.49,49.36,48.6,47.19,46.81,45.01,43.66,43.26,41.49,42.0,42.56,42.19,44.31,40.61,43.71,39.96,39.71,43.61,41.25,41.26,35.37,33.95,31.66,30.77,30.59,30.45,30.24,30.18
Canada,337.13,329.25,322.01,339.94,347.73,338.56,329.45,319.27,318.8,323.77,340.59,350.93,357.21,357.43,364.83,363.02,368.9,375.91,385.53,392.0,404.13,387.36,383.77,363.33,349.19,339.02,328.57,313.34,307.96
Cape Verde,0.39,0.39,0.41,0.41,0.39,0.39,0.39,0.39,0.39,0.37,0.35,0.35,0.35,0.35,0.35,0.32,0.32,0.32,0.32,0.32,0.32,0.3,0.31,0.31,0.31,0.31,0.3,0.27,0.27
Central African Republic,98.99,98.15,102.69,94.08,89.58,90.05,88.17,91.58,85.83,76.05,86.88,85.05,81.01,80.32,74.03,86.17,70.61,76.01,73.31,71.38,76.58,68.81,63.7,72.74,72.15,71.56,71.14,70.72,69.76
Chad,169.44,163.89,158.66,149.4,139.22,134.06,129.66,123.98,118.73,114.67,114.33,113.53,110.7,109.43,99.11,89.39,78.83,67.81,70.76,69.74,66.38,59.04,55.83,50.22,48.1,46.18,44.43,42.71,29.9
Chile,43.82,43.93,42.51,42.52,43.21,42.56,45.69,45.07,44.68,44.55,44.31,43.75,44.36,45.07,45.32,45.4,45.83,46.28,46.92,46.77,46.41,45.61,44.22,43.39,42.5,41.9,41.04,40.47,40.18
